ITEMID,DESCRIPTION,COMMODITYCODE
R6847,"Vitamin K2 as MK-7 (10000 ppm), 1% Vitamin K2",Vitamin
RWL0309,Polysorbate 20,Excipient
RWL0310,Omega-3 Fatty Acids 300/200EE,Fat/Facid
R6856,Natural Raspberry Flavor WONF 116519,Flavor
R6855,Green Banana Flour,Fiber
R6854,Enzyme Enhanced Stevia 95%,BotExtract
R6858,Magnesium Taurate 18% Mg,Mineral
RWL0312,Soybean Oil,Excipient
R6861,Natural Vanilla Flavor WONF 313299,Flavor
R6862,Organic Chocolate Flavor WONF 324236,Flavor
RW5668,"Zinc Oxide USP, 80% Zn",Mineral
RWL0311,ThymoDream  Black Cumin Seed Extract Oil NLT 5% Thymoquinone,BotExtract
R6857,Natural Raspberry Flavor WONF 674203,Flavor
R6860,ElastaGLO  Hydrolyzed Elastin Peptides,Protein
R6853,"HyaMax  Sodium Hyaluronate 8,000-50,000Da",Nutrition
CR6859,Organic Cocoa Powder 20/22 Alkalized,CustOwned
RW5667,Fish Gelatin 270B,Animal
RW5669,Bovine Gelatin 160 Bloom,Animal
R6868,Black Carrot Color FAUU002,Color
R6865,Stevia Edgility 95%,Excipient
R6870,Natural Cake Crumb Type Flavor 7-7530-0035,Flavor
R6871,Natural Blocker/Enhancer Type Flavor 7530003,Flavor
R6869,Natural Vanilla Cream Type Flavor 7-7530-0040,Flavor
R6873,Natural Blue Raspberry Flavor 650485,Flavor
R6872,Natural Caramel Type Flavor 7-7530-0041,Flavor
R6875,Natural Cherry Flavor WONF 580971,Flavor
R6874,Natural Lime Flavor WONF 631087,Flavor
R6880,Natural Vanilla Flavor WONF 10MS803214,Flavor
R6881,Natural Chocolate Flavor WONF 528100,Flavor
R6864,Paprika Powder (Orange Color) FAMC152,Color
R6867,Purple Potato Powder (Red Color) FAUU120,Color
R6692,Organic Cocoa Powder (processed with alkali),BotExtract
R6693,Calcium Gluconate USP/FCC Granular,Mineral
RW5649,EasySeal  B Bovine Bone 200 Bloom Gelatin,Animal
RWL0287,Sabaselect  Serenoa Repens Purified extract,Fat/Facid
R6723,Natural Prickly Pear Flavor (AT08),Flavor
R6718,Citric Acid Anhydrous Fine,Excipient
RWL0288,St. John's Bread Dark (RP) SE  AC320268,Color
R6721,BetaVia  Complete whole algae (Euglena gracillis) fermentate - Non GMO,BotExtract
R6616,Natural Caramelized Onion Type Flavor WONF MTP00871 - customer exclusive,Flavor
RWL0275,Calamariine 110-385 EE w Salmon and Cod oil,Fat/Facid
RW5641,Garcinia Cambogia Extract Powder 50%,BotExtract
RWL0276,Omega-3 Fish Oil 300/200 EE,Fat/Facid
R6629,Forever Plant Protein PWD29 - customer exclusive,Protein
R6626,Liposomal PureWay C  Vitamin C (as L-ascorbic acid) 67%,Vitamin
R6628,CollaGEM  Hydrolyzed Fish Collagen Peptides,Protein
R6627,LipoVantage  Liposomal Hyaluronic Acid 50%,Mineral
RWL0279,Garlic oil extract (100:1),BotExtract
R6637,Natural Blood Orange Flavor WONF 717078,Flavor
CR6635,Beef Liver Powder,CustOwned
CRW5644,Bison Tallow (Customer Supplied),CustOwned
R6682,Potassium Carbonate 56.6% K,Mineral
R6676,Rhodiola Rosea extract (Rhodiola rosea) (root) (std. to 3% Rosavins 1% salidrosides),BotExtract
R6681,Natural Watermelon Flavor WONF Ze94544 - customer exclusive,Flavor
R6688,"L-5-Methyltetrahydrofolate, Calcium (70%)",Vitamin
R6690,Creatine Monohydrate 200 mesh,AminoAcid
