ITEMID,DESCRIPTION,COMMODITYCODE,COST ,COSTUM
RW5600,Liquid Nitrogen 99.99% Purity,Nitrogen,402.63,EA
R6692,Organic Cocoa Powder (processed with alkali),BotExtract,8.98,kg
R6693,Calcium Gluconate USP/FCC Granular,Mineral,10.25,kg
RW5649,EasySeal  B Bovine Bone 200 Bloom Gelatin,Animal,12,kg
RWL0287,Sabaselect  Serenoa Repens Purified extract,Fat/Facid,220,Kg
R6723,Natural Prickly Pear Flavor (AT08),Flavor,44.092,kg
R6718,Citric Acid Anhydrous Fine,Excipient,4.98,kg
RWL0288,St. John's Bread Dark (RP) SE  AC320268,Color,17.58,kg
R6721,BetaVia  Complete whole algae (Euglena gracillis) fermentate - Non GMO,BotExtract,125,kg
R6616,Natural Caramelized Onion Type Flavor WONF MTP00871 - customer exclusive,Flavor,38.8,kg
RWL0275,Calamariine 110-385 EE w Salmon and Cod oil,Fat/Facid,38.7,kg
RW5641,Garcinia Cambogia Extract Powder 50%,BotExtract,18,kg
RWL0276,Omega-3 Fish Oil 300/200 EE,Fat/Facid,28,kg
R6629,Forever Plant Protein PWD29 - customer exclusive,Protein,9.7,kg
R6626,Liposomal PureWay C  Vitamin C (as L-ascorbic acid) 67%,Vitamin,37,kg
R6628,CollaGEM  Hydrolyzed Fish Collagen Peptides,Protein,24,kg
R6627,LipoVantage  Liposomal Hyaluronic Acid 50%,Mineral,255,kg
RWL0279,Garlic oil extract (100:1),BotExtract,68,kg
R6637,Natural Blood Orange Flavor WONF 717078,Flavor,41.226,kg
R6682,Potassium Carbonate 56.6% K,Mineral,4.08,kg
R6676,Rhodiola Rosea extract (Rhodiola rosea) (root) (std. to 3% Rosavins 1% salidrosides),BotExtract,175,kg
R6681,Natural Watermelon Flavor WONF Ze94544 - customer exclusive,Flavor,75.69,kg
R6688,"L-5-Methyltetrahydrofolate, Calcium (70%)",Vitamin,2250,kg
R6690,Creatine Monohydrate 200 mesh,AminoAcid,5.85,kg
R6689,Magnesium Succinate 28 %,Mineral,21,kg
R6691,Bovine Colostrum Powder 30% IgG,Animal,80.7,kg
R6833,N&A Strawberry Flavor 7-7530-0027,Flavor,35.05,KG
RWL0308,AlaskOmega TG 100500,Fat/Facid,38.25,KG
R6834,Organic Natural Raspberry Type Flavor 920-002,Flavor,55.56,KG
RW5666,Fumed Colloidal silicon dioxide,Excipient,80.39,KG
R6835,N&A Blueberry Flavor 7-7530-0030,Flavor,43.87,KG
RWL0283,"Curcumin Liquid Oil Emulsion, 12%, Curc-C (Curcuma longa L.)",Botanical,114,kg
R3216-1,Garcinia Cambogia Extract Powder,BotExtract,54.08,kg
R6670,"Keystone Postbiotic  Lactobacillus plantarum 276, Lactobacillus Rhamnosus GG",Probiotic,155,kg
RWL0286,St. John's Bread Ext OC (Carob Ext.) AC32038,Color,37.91,Kg
RW5648,Pyrroloquinoline Quinone (PQQ) Disodium Salt,Nutrition,1050,kg
RWL0284,"CETO3  Fish Oil (160mg/g Cetoleic Acid, 100mg/g Gondoic Acid, 50mg/g EPA, 50mg/g DHA, 140mg/g Total Omega-3)",Fat/Facid,31,kg
RWL0281,MenaQ7 Vitamin K2 as MK-7 Oil (Customer Exclusive),Vitamin,270,kg
R6638,Cranberry Juice Powder,Botanical,32.28,KG
R6641,Natural Peach Flavor WONF 120392HL,Flavor,28.33,kg
R6640,Natural Peach Mango Type Flavor ZD45 - customer exclusive,Flavor,42.88,kg
R6657,Medium Chain Triglycerides-MCT Oil Powder 50%,Fat/Facid,17.66,kg
R6639,D-Mannose Granular,Nutrition,69,kg
R6610,Natural Apple Type F,Flavor,63.382,kg
R6606,Natural Lemonade Flavor 862.3786U,Flavor,40.52,kg
R6605,Natural Watermelon Flavor WONF WA028234,Flavor,63.272,kg
R6604,Natural Blackberry Flavor WONF 808.0240U,Flavor,41.248,kg
R6569,Premium Grape OPC (Vitis vinifera) (seed) VX1  80% OPC,BotExtract,300,kg
R6611,FN-PBL30 Forever Lite Ultra IN Preblend - customer exclusive,Vitamin,9.87,kg
R6621,Natural Vegetable Broth Type Flavor MTP00571 - customer exclusive,Flavor,59.8,kg
R6623,Natural Roasted Chicken Type Flavor MTP00606 - customer exclusive,Flavor,68.5,kg
R6622,Natural Black Pepper Extract MTP00331 - customer exclusive,Flavor,22.2,kg
R6634,Natural Mixed Berry Flavor JL92,Flavor,45.525,kg
RWL0277,Lemon oil AR-1298,Flavor,67,kg
R6672,Bifidobacterium animalis ssp. lactis BLC1 500B,Probiotic,795,kg
R6615,Procol  F Guar Gum,Fiber,17.38,kg
RW5642,NEM Eggshell Membrane,Nutrition,157.5,kg
R6624,Green Jalapeno Pepper Powder,Botanical,14.24,kg
RWL0251,CurQ+  Paste,BotExtract,94.5,kg
RW5639,Chromium picolinate NLT 12% Cr,Mineral,68,kg
RW5640,Thyme Leaf Powder,Botanical,12.67,kg
R6630,FN-RMC23 Calcium Carbonate 38.46% Ca - customer exclusive,Mineral,2.25,kg
RWL0280,Carrot Seed Oil,Fat/Facid,155.5,kg
R6636,Wild Jujube (Ziziphus jujuba) Seed Extract 4:1,BotExtract,60,kg
RW5643,Bilberry Extract 10% Anthocyanins,BotExtract,185,kg
RWL0278,Lime Oil AR-1914,Flavor,113,kg
R6614,MCT GA Powder,Fat/Facid,24.471,kg
R6632,EXBERRY  Organics Bright Yellow 23000377,Color,68.64,kg
R6631,EXBERRY  Organics Fiesta Pink 51420377,Color,18.36,kg
R6633,Organic Luo Han Guo Extract 50% Mogroside,BotExtract,26,kg
R6625,Chipotle Powder,Botanical,16.42,kg
R6620,Chicken Bone Broth Powder,Protein,16.78,kg
R6618,Basil Powder,Botanical,5.11,kg
R6619,Oregano Powder,Botanical,7.2,kg
R6617,Paprika Powder,Botanical,7.01,kg
R6613,Red Bell Pepper Powder,Botanical,8.33,kg
R6476,FN-RMC42 Jerzee CWS 50 Sunflower Oil Powder - customer exclusive,Fat/Facid,10.442,kg
R6482,FN-RMS42 Safflower Oil Powder 35% Linoleic Acid - customer exclusive,Fat/Facid,16.55,kg
R6478,FN-RMA12 Aminotein  Enzy-Pro  Acid Protease - Customer Exclusive,Enzyme,62.26,kg
R6514,FN-RMC17 Natural Chocolate Flavor WONF 5624M - customer exclusive,Flavor,39.33,kg
R6481,FN-RMC18 Cocoa Powder processed with alkali - customer exclusive,BotExtract,14.815,kg
R6515,FN-RMC20 Natural Cocoa Replace Flavor FT-9478 - customer exclusive,Flavor,21.63,kg
R6473,Molybdenum citrate 0.2%,Mineral,33.64,kg
RWL0272,n-3Omega  Ultimate Omega 3+ Oil 44/36 EPA/DHA,Fat/Facid,72.7,kg
R6461,Fenusterols  (Fenugreek Sterols Trigonella foenum graecum),BotExtract,60,kg
R6484,FN-RMS21 Soy Lecithin Powder - Customer Exclusive,Fat/Facid,21.671,kg
R6422,Amla Fruit Extract (RMA33)-Customer Exclusive,BotExtract,22,kg
R6517,MaquiBright Maqui Berry Extract (Aristotelia chilensis) (Customer Specified),BotExtract,1400,kg
R6500,Calcium Carbonate Granular (RMC38)-Customer Exclusive,Mineral,3.21,kg
R6469,"Riboflavin (Vitamin B2), USP (RMR04)-Customer Exclusive",Vitamin,112,kg
R6509,Green Coffee 45% Chlorogenic Acid (RMG24)-Customer Exclusive,BotExtract,23,kg
R6451,Kids US Vitamin Preblend Revised (WE-30724) (RMV13)-Customer Exclusive,Vitamin,30.28,kg
R6522,Sugar Beet Fiber (RMB19)-Customer Exclusive,Fiber,4.36,kg
R6518,"Mucuna Pruniens, Seed (15% L-Dopa)",BotExtract,28.5,kg
R6568,Benolea  (EFLA 943) - Olive leaf powder extract,BotExtract,107.4,kg
R6563,Organic Red Maca Root Powder (Lepidium meyenii),Botanical,12,kg
R6564,Organic Black Maca Root Powder (Lepidium meyenii),Botanical,13,kg
R6565,Organic Yellow Maca Root Powder (Lepidium meyenii),Botanical,11,kg
R6575,Natural Grapefruit Flavor WONF 857.0156U,Flavor,53.46,kg
R6570,Urophenol  Cranberry,BotExtract,485,kg
R6574,Natural Grapefruit WONF Flavor 1346A PDR,Flavor,68.56,kg
R6529,Cyanocobalamin 1% on Mannitol,Vitamin,36.95,kg
R6530,Dicalcium Phosphate 22.1% Ca,Mineral,5.842,kg
R6533,Trisodium phosphate 8.1% P,Mineral,4.519,kg
RWL0274,Sweet Orange Oil,Flavor,27.25,kg
R6531,Chromium Chloride 19.1% Cr,Mineral,125,kg
RWL0273,Omega-3 Acid TG360240,Fat/Facid,35.5,kg
R6527,Cupric Sulfate 39.2% Cu,Mineral,32.4,kg
R6526,Manganese Sulfate 31.86% Mn,Mineral,18,kg
R6528,Sodium Selenite 45% Se,Mineral,39.9,kg
R6524,Potassium Iodide 1% I,Mineral,17.25,kg
R6525,Zinc Oxide 80.4% Zn,Mineral,10.14,kg
R6551,Natural Apple Flavor WONF,Flavor,87.96,kg
R6552,Natural Green Apple Flavor WONF,Flavor,21.05,kg
R6542,AstaZine   Astaxanthin 2% powder,Nutrition,345,kg
R6540,Liposomal PureWay C fine powder 67%,Vitamin,37,kg
R6543,Immulink MBG  Organic Lion s Mane Extract (Hericium erinaceus),BotExtract,230,kg
R6550,Natural Peach Type Flavor,Flavor,70.88,kg
R6541,Liposomal Glutathione 68% (LiposoMax ),AminoAcid,215,kg
R6535,Catuaba bark extract 4:1 (Trichilia catigua),BotExtract,25,kg
R6539,AvailOm  50 High DHA Algae - Vegan,Fat/Facid,373.91,kg
R6193,Cocoa Powder 10-12% (processed with alkali) D-11-S,Botanical,17.416,KG
R6186,Shatavari Root Extract 10:1 (Asparagus racemosus),Botanical,23,KG
R6191,Ovoderm  Eggshell Membrane,Nutrition,289,kg
R6072,ProbioSEB Multi  10 Billion CFU Probiotic 9 Strain,Probiotic,90.5,KG
R5968,Tributyrin Powder (50%),Fat/Facid,250,KG
R6073,Natural Caramel Flavor WONF 12268 FOOD ONLY,Flavor,66.51,KG
RWL0256,Omegia  Sea Buckthorn Oil,Fat/Facid,146,KG
R6063,Alviolife  (proprietary blend of Boswellia serrata and Aegle marmelos),BotExtract,369,KG
R6066,MitoBurn  L- -Aminoisobutyric Acid 98%,AminoAcid,176,KG
R6067,ZinjaBurn  (Dehydrozngerone) 97%,BotExtract,197,KG
R6231,Natural Lemon Flavor 862.3257U,Flavor,69.466,KG
R6254,Green Lipped Mussel Powder,Botanical,32,kg
R6220,Lemon Balm Extract (5% Rosmarinic acid),BotExtract,71,Kg
R6250,Organic Green Vibrance Blend RFI-EO230162,Botanical,25.83,kg
R6256,Natural Vanilla Flavor WONF SD012392,Flavor,40.344,kg
R6257,"20 Strain Probiotic Blend, 100B CFU/g",Probiotic,429,kg
RWL0262,Lutein 20% Oil Suspension,BotExtract,86,kg
R6126,L-Threonine 98.5% (Vegan),AminoAcid,6,KG
R6123,L-Lysine HCl 98.5% (Vegan),AminoAcid,3.9,KG
R6125,L-Ornithine HCl 99% (Vegan),AminoAcid,22.5,KG
R6124,L-Histidine HCl Monohydrate 98.5% (NLT 72.9% L-Histidine) Vegan,AminoAcid,61.5,KG
R6137,NutraFinish TiO2 Free Film Coating 168U180003 White,Coating,65.85,KG
R6129,Vitamin B1 Thiamine Mononitrate 98% MANUFACTURER EXCLUSIVE,Vitamin,24,KG
R6130,TedGel-301 Carrageenan MANUFACTURER EXCLUSIVE,Excipient,26.61,KG
R6132,Bitrit-1  - Type A Biotin 1% MANUFACTURER EXCLUSIVE,Vitamin,58.69,KG
R6138,L-Tyrosine (Vegan) 98.8%%,AminoAcid,75,KG
R6133,Natural Chocolate Flavor 786546 MANUFACTURER EXCLUSIVE,Flavor,8,KG
R6139,Natural Apple Type Flavor Non-GMO 717069,Flavor,47.4,KG
R6140,Natural Masking Flavor Non-GMO 717070,Flavor,33.069,KG
R6134,Natural Peppermint Flavor 19784 MANUFACTURER EXCLUSIVE,Flavor,112.99,KG
R6131,Nutra-B  Folic Acid 10% on DCP MANUFACTURER EXCLUSIVE,Vitamin,52.35,KG
R6149,Bacillus Coagulans 200B CFU/g,Nutrition,275,KG
R6148,"Natural Fruit Punch Flavor WONF ""Verry Berry"" 769010",Flavor,34.04,KG
R6065,SantEnergy  Nu 5450 (Santa herba powder extract) (Customer Supplied),Botanical,168,KG
R6076,ZumXR  Delayed Release Caffeine Microspheres,Nutrition,173,KG
RWL0252,"XanMax  Lutein 20%, Zeaxanthin 4%",BotExtract,285,KG
R6068,RoseFit  Rose Extract (Rosa multiflora) (flower petal) (Std. to 60% polyphenols),BotExtract,230,KG
RWL0255,Glycerin 99.7% (RSPO),Excipient,6.03,KG
R5935,Isatis indigotica Leaf Extract 5:1,BotExtract,58,KG
R6064,Organic Plantain Leaf Powder,Botanical,18.5,KG
R6062,Organic Mullein Leaf Powder,Botanical,25.6,KG
R6061,Organic Elecampane Root Powder,Botanical,15.54,KG
R6070,RipFACTOR  (Proprietary blend of Sphaeranthus indicus flower head and mangifera indica bark extract),BotExtract,218,KG
R6080,Grains of Paradise Extract 12% 6-Paradol,BotExtract,285,KG
R6165,Natural and Artificial Grape Type Flavor 201496,Flavor,30.84,KG
R6162,Sodium Phaseolusate as Metabolyte ,Mineral,42,KG
R6168,Natural and Artificial Watermelon Flavor Non-GMO 717068,Flavor,63.051,KG
R6177,Luo Han Guo Extract (Monk Fruit Extract),BotExtract,190.5,KG
R6166,Natural and Artificial Cherry Type Flavor 201497,Flavor,30.798,KG
R6169,Natural Mango Flavor WONF 4220B,Flavor,29.98,KG
R6174,CognatiQ  Coffee fruit extract,BotExtract,305,KG
R6181,Tremella Mushroom Extract,BotExtract,54,KG
R6179,L-Histidine Base 98.5% (Vegan),AminoAcid,41.06,KG
R6178,Motherwort (Leonurus cardiaca) Herb Powder,Botanical,24,KG
R6175,Natural Sour Gummy Flavor WONF 6735B,Flavor,31.746,KG
R6184,Natural and Artificial Moscow Mule Type Flavor ZE74976,Flavor,79.7,KG
R6176,Natural Amino Blocker Masking Flavor 24799,Flavor,44.488,KG
R6180,SynBalance   ProBeauty Shield 100B,Probiotic,529.3,KG
R6185,Natural Bitterness Masker Type Flavor ZE29479,Flavor,78.97,KG
R6102,Citrus Bioflavonoid Complex 90% bioflavonoids MANUFACTURER EXCLUSIVE,BotExtract,38,KG
RW5619,Sodium Hyaluronate (Hyaluronic acid NLT 81%),Nutrition,82,KG
RW5622,d-Biotin NLT 98%,Vitamin,300,KG
RW5624,Inositol Powder FCC 97%,Nutrition,24.5,KG
R6107,Natural Pina Colada Type Flavor A19-002122,Flavor,86.62,KG
R6106,Saffron flower extract 6:1,BotExtract,59,KG
R6115,Elderberry Juice Powder,Botanical,14,KG
R6114,Strawberry Juice Powder,Botanical,10,KG
R6108,Natural Mint Type Flavor A19-005244,Flavor,48.38,KG
R6116,Bilberry Fruit Juice Concentrate,Botanical,23.28,KG
R6117,Green Tea Leaf Extract,BotExtract,28,KG
R6121,L-Alanine 98.5% (Vegan),AminoAcid,9.3,KG
R6118,L-Valine 98.5% (Vegan),AminoAcid,6.4,KG
RW5623,"Choline Bitartrate Pwd (Choline Bitartrate NLT 97%, Choline NLT 40%)",Vitamin,8.43,KG
RW5625,PABA (P-Aminobenzoic acid) Powder,AminoAcid,29,KG
R6127,L-Proline 98.5% (Vegan),AminoAcid,18.5,KG
R6128,L-Serine 98.5% (Vegan),AminoAcid,43.5,KG
R6119,L-Leucine 98.5% - Vegetarian,AminoAcid,14,KG
R6122,L-Aspartic Acid 98.5% (Vegan),AminoAcid,7,KG
R6120,L-Isoleucine 98.5% (Vegan),AminoAcid,18.5,KG
R6103,Niacinamide 98.5% Vitamin B3 MANUFACTURER EXCLUSIVE,Vitamin,12.5,KG
R6200,Natural Citrus Flavor WONF RW15,Flavor,57.87,kg
R6199,Natural Blackberry Clementine Flavor WONF 808.0457U,Flavor,61.442,kg
RWL0259,Cranberry Seed Oil,Botanical,49,kg
R6197,Whey Protein Isolate Instantized 93% as-is sunflower lecithin SureProtein  895,Food,13.32,kg
R6201,Natural Masking Type Flavor QS16,Flavor,53.902,kg
R6206,"Stevia Leaf Extract Rebaudioside A 97%, RA97",BotExtract,64.9,kg
R6205,Organic Matcha Green Tea (Camellia sinensis) Leaf Powder,Botanical,38,Kg
R6189,Natural French Vanilla Type Flavor SD012214,Flavor,36.8,KG
R6187,Natural Chocolate Flavor WONF Fudge Type SD011791,Flavor,50,KG
R6188,Natural Chocolate Flavor WONF SD012125,Flavor,50.35,KG
R6202,Natural Lemonade Flavor WONF 201693,Flavor,35.05,KG
R6198,Natural Strawberry Flavor WONF 201699,Flavor,45.33,KG
R6211,Natural Chocolate Type Flavor MET0009820,Flavor,25.4,KG
R6214,Resveratrol (Japanese knotweed) Extract Granular 50%,BotExtract,88,Kg
R6136,Richmix HO Sun 50-NT NPH Sunflower Creamer MANUFACTURER EXCLUSIVE,Fat/Facid,13.098,KG
R6141,Solugel  Ultra BD Bovine Collagen Peptides,Protein,10.5,KG
R6142,Beet Root Powder - Kosher/Halal MANUFACTURER EXCLUSIVE,Botanical,10.69,KG
R6153,Grape Seed Extract 95% Proanthocyanidins,BotExtract,18,KG
R6143,Natural and Artificial Jalapeno Margarita Flavor ZE71629,Flavor,49.74,KG
R6152,NeuroFacor  Coffee Extract 40% Chologenic acids,BotExtract,305,KG
R6144,PreticX  70% XOS Xylooligosaccharide,Fiber,59.03,KG
