ITEMID,DESCRIPTION,COMMODITYCODE
PL4174-60-B,"Label, Native Path Colostrum 60 svgs #10-00076   REV:C 10/25",Label
PL4050-90-UAE-A,"Label, 206RULEX3 Forever Calcium-UAE 90ct   REV:D42RU",Label
PG4281-30,"Gusset, Body & Beauty Colostrum+ Vanilla 30 svgs.",Gusset
PL4221-100,"Label, Amazon Basics L-Glutamine Powder, 100svg   REV: PN_4578",Label
PB4196-30-A,"Carton, SwissRX Debloat Passionfruit/Guava/Mango Stickpacks, 30ct",ConsumerBx
PF4196-10L-A,"Film, SwissRX Debloat Passionfruit/Guava/Mango stick 8g",Film-Stick
PC816,"Scoop, 1.7cc Clear Medium Handle",Scoop
VS-0459L,"Label, BodyTech Carnitine Powder, Unflavored, 120svg   REV:JZ 37",Label
PB498,"Box, 8 1/8 x 6 1/8 x 4 1/4",Box
PL4145,"Sticker, Daily use Unflavored Creatine with Taurine+ Stick",Sticker
CPL3914-60-UPC-A,"Label, Conception for Her 60ct - UPC   REV:12",CustOwned
CPG4279-60,"Gusset,REVANTA Creatine, 60 Svgs.",CustOwned
PF4137-10L-C,"Film, Mixed Berry Magnesium + Stick (10 lane)",Film-Stick
VS-3121L-C,"Label, One Daily Men's 50+ Multi, 60ct   REV:KZ 37",Label
VS-1730L-B,"Label, Vitamin B12 1000mcg, 120ct   REV:JZ 37",Label
PB497,"Box, 22 x 17 x 12",Box
PG4282-20,"Gusset, Clear Whey Raspberry Lemonade 20 svgs",Gusset
PC818,"Scoop, 29.6cc Natural Long Handle",Scoop
VS-8544L-A,"Label, BodyTech Elite Muscle Growth Peptide Unflavored, 30svg.   REV:KZ 37",Label
VS-8542L-A,"Label, BodyTech Elite Recovery PEP Citrus, 30svg   REV:KZ 37",Label
CPB4283-28,"Consumer Box, Magna Hydration Blue Ice 28ct   REV:6",CustOwned
CPL4293-30,"Label, Serene Sleep Softgel 30ct   REV:L02526B",CustOwned
CPG3754-14-B,"Gusset, Plant Protein Superfood Chocolate 14 Svgs   REV:B1",CustOwned
VS-8538L-A,"Label, BodyTech Elite Plasma PEP, 30svg   REV:KZ 37",Label
PG3998-60-E,"Gusset, Creatine with taurine+ 60 svgs",Gusset
PC819,"Scoop, 14.8cc Natural Medium Handle",Scoop
CPL2893-60-B,"Label, Thyroid Care Plus 60ct   REV:L13416.07NB",CustOwned
CPB2893-60-B,"Carton, Thyroid Care Plus 60ct Consumer   REV:BX13416.07NB",CustOwned
PG4191-10-A,"Gusset, Clear Protein + Electrolytes Gusset 10 svgs   REV:390110C.789-03",Gusset
CPL4288-250,"Label, Vitamin D3 25mcg (1000IU) Softgel 250ct   REV:L01751I",CustOwned
CPL4289-60,"Label, Once-Daily Health Booster Softgels 60ct   REV:L02291G",CustOwned
CPB2893-120-B,"Carton, Thyroid Care Plus 120ct Consumer   REV:BX13412.03NB",CustOwned
